ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1970-01-01,129.62618966571338,119.807420898918,141.2021589920665,129.62618966571338,129.62618966571338,0.0,0.0,0.0,0.0,0.0,0.0,129.62618966571338
1970-01-02,129.66093171493702,117.39003918607303,139.52364326500452,129.66093171493702,129.66093171493702,0.0,0.0,0.0,0.0,0.0,0.0,129.66093171493702
1970-01-04,129.7304158133843,121.8913472875074,140.633587378745,129.7304158133843,129.7304158133843,0.0,0.0,0.0,0.0,0.0,0.0,129.7304158133843
1970-01-05,129.76515786246637,119.74367525231607,140.9100928942036,129.76515786246637,129.76515786246637,0.0,0.0,0.0,0.0,0.0,0.0,129.76515786246637
1970-01-07,129.8346419602073,120.54405690141382,138.97840889290785,129.8346419602073,129.8346419602073,0.0,0.0,0.0,0.0,0.0,0.0,129.8346419602073
1970-01-14,130.07783630230057,117.78113026299879,143.0116270909132,130.07783630230057,130.07783630230057,0.0,0.0,0.0,0.0,0.0,0.0,130.07783630230057
1970-01-17,130.18206244866892,117.29636607041076,142.58583086473783,130.18206244866892,130.18206244866892,0.0,0.0,0.0,0.0,0.0,0.0,130.18206244866892
1970-01-18,130.2168044976336,119.0692329300617,140.57944816562392,130.2168044976336,130.2168044976336,0.0,0.0,0.0,0.0,0.0,0.0,130.2168044976336
1970-01-19,130.25154654659826,114.67911378846863,141.99431193554844,130.25154654659826,130.25154654659826,0.0,0.0,0.0,0.0,0.0,0.0,130.25154654659826
1970-01-22,130.35577269323625,119.71549399286963,142.76331428862176,130.35577269323625,130.35577269323625,0.0,0.0,0.0,0.0,0.0,0.0,130.35577269323625
1970-01-25,130.45999883987582,120.0007060545322,139.60656871619304,130.45999883987582,130.45999883987582,0.0,0.0,0.0,0.0,0.0,0.0,130.45999883987582
